stride,4K,8K,16K,32K,64K,128K,256K,512K,1M,2M,4M,8M,16M,32M,64M
4,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
8,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3
16,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.4,1.4,1.5,1.5,1.7
32,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.4,1.4,1.5,2,2.3,2.3,2.3,2.8
64,0.5,1,1.1,1.1,3.1,3.1,3.1,3.4,3.4,3.5,4.4,5,5.1,5.1,5.9
128,0.1,0.4,1.1,1.1,3,3.1,3.2,4,4,4.3,10.3,14.1,14.9,15.1,16.6
256,0.1,0.1,0.4,1.1,3.1,3.1,3.3,6.9,6.9,7.2,19.4,30.8,34.6,35.6,39.7
512,0.1,0.1,0.1,0.4,2.9,3.1,3.3,7.4,7.4,7.6,21.4,32,37,39.1,42.6
1024,0.1,0.1,0.1,0.1,1.4,2.9,3.3,8.6,8.7,8.8,27,43.3,48.2,48.7,59.6
2048,0.1,0.1,0.1,0.1,0.7,1.4,3.4,10.7,10.7,10.7,30.4,53.9,60.4,62.7,74.5
4096,0,0.1,0.1,0.1,0.4,0.6,1.6,11.9,11.8,11.8,36.3,67.2,69.1,68.1,85.1
8192,0,0,0.1,0.1,0.1,0.4,0.9,6.2,11.8,11.8,31.8,61.5,69.1,68.1,96.3
16384,0,0,0,0.1,0.1,0.1,0.7,3.8,6.2,11.8,29.9,53.6,61.1,72.2,91.7
32768,0,0,0,0,0.1,0.1,0.1,2.2,3.8,6.1,25.1,61.5,62.7,62.7,89.4
65536,0,0,0,0,0,0.1,0.1,0.2,2.2,3.8,16.8,64,62.7,62.7,74.5
131072,0,0,0,0,0,0,0.1,0.1,0.2,2.2,3.9,31.8,62.7,62.7,74.5
262144,0,0,0,0,0,0,0,0.1,0.1,0.2,2.2,3.8,40.4,62.7,74.5
524288,0,0,0,0,0,0,0,0,0.1,0.1,0.2,2.2,3.8,26.8,74.5
1048576,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,2.2,3.8,44.2
2097512,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,2.2,3.8
4194304,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,2.2
8388608,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2
16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
